,NumUniqueAdresses
2010-12-16 18:15:05,700.0
2010-12-17 18:15:05,654.0
2010-12-18 18:15:05,603.0
2010-12-19 18:15:05,775.0
2010-12-20 18:15:05,1100.0
2010-12-21 18:15:05,828.0
2010-12-22 18:15:05,875.0
2010-12-23 18:15:05,860.0
2010-12-24 18:15:05,788.0
2010-12-25 18:15:05,793.0
2010-12-26 18:15:05,946.0
2010-12-27 18:15:05,678.0
2010-12-28 18:15:05,772.0
2010-12-29 18:15:05,848.0
2010-12-30 18:15:05,730.0
2010-12-31 18:15:05,768.0
2011-01-01 18:15:05,775.0
2011-01-02 18:15:05,779.0
2011-01-03 18:15:05,956.0
2011-01-04 18:15:05,943.0
2011-01-05 18:15:05,1064.0
2011-01-06 18:15:05,950.0
2011-01-07 18:15:05,887.0
2011-01-08 18:15:05,1267.0
2011-01-09 18:15:05,1110.0
2011-01-10 18:15:05,1209.0
2011-01-11 18:15:05,1185.0
2011-01-12 18:15:05,1084.0
2011-01-13 18:15:05,1150.0
2011-01-14 18:15:05,1134.0
2011-01-15 18:15:05,1094.0
2011-01-16 18:15:05,1250.0
2011-01-17 18:15:05,1080.0
2011-01-18 18:15:05,1200.0
2011-01-19 18:15:05,1281.0
2011-01-20 18:15:05,1125.0
2011-01-21 18:15:05,1354.0
2011-01-22 18:15:05,1742.0
2011-01-23 18:15:05,1397.0
2011-01-24 18:15:05,1682.0
2011-01-25 18:15:05,1282.0
2011-01-26 18:15:05,1192.0
2011-01-27 18:15:05,1184.0
2011-01-28 18:15:05,1329.0
2011-01-29 18:15:05,1642.0
2011-01-30 18:15:05,2494.0
2011-01-31 18:15:05,2162.0
2011-02-01 18:15:05,1311.0
2011-02-02 18:15:05,1283.0
2011-02-03 18:15:05,975.0
2011-02-04 18:15:05,1134.0
2011-02-05 18:15:05,1094.0
2011-02-06 18:15:05,1060.0
2011-02-07 18:15:05,1094.0
2011-02-08 18:15:05,1053.0
2011-02-09 18:15:05,1387.0
2011-02-10 18:15:05,2797.0
2011-02-11 18:15:05,3757.0
2011-02-12 18:15:05,2918.0
2011-02-13 18:15:05,2608.0
2011-02-14 18:15:05,2838.0
2011-02-15 18:15:05,3046.0
2011-02-16 18:15:05,2466.0
2011-02-17 18:15:05,3096.0
2011-02-18 18:15:05,3034.0
2011-02-19 18:15:05,2542.0
2011-02-20 18:15:05,2492.0
2011-02-21 18:15:05,2857.0
2011-02-22 18:15:05,3143.0
2011-02-23 18:15:05,3480.0
2011-02-24 18:15:05,2847.0
2011-02-25 18:15:05,3067.0
2011-02-26 18:15:05,2901.0
2011-02-27 18:15:05,3198.0
2011-02-28 18:15:05,2706.0
2011-03-01 18:15:05,2494.0
2011-03-02 18:15:05,4755.0
2011-03-03 18:15:05,4099.0
2011-03-04 18:15:05,2996.0
2011-03-05 18:15:05,2839.0
2011-03-06 18:15:05,2750.0
2011-03-07 18:15:05,2990.0
2011-03-08 18:15:05,3547.0
2011-03-09 18:15:05,2833.0
2011-03-10 18:15:05,2388.0
2011-03-11 18:15:05,2834.0
2011-03-12 18:15:05,2600.0
2011-03-13 18:15:05,2494.0
2011-03-14 18:15:05,2388.0
2011-03-15 18:15:05,2660.0
2011-03-16 18:15:05,2581.0
2011-03-17 18:15:05,2663.0
2011-03-18 18:15:05,2802.0
2011-03-19 18:15:05,2697.0
2011-03-20 18:15:05,2378.0
2011-03-21 18:15:05,5496.0
2011-03-22 18:15:05,3504.0
2011-03-23 18:15:05,5598.0
2011-03-24 18:15:05,3802.0
2011-03-25 18:15:05,3624.0
2011-03-26 18:15:05,3808.0
