,NumTransactionsExcluding100
2012-04-06,6164.0
2012-04-07,5650.0
2012-04-08,5858.0
2012-04-09,5364.0
2012-04-10,6659.0
2012-04-11,6875.0
2012-04-12,7188.0
2012-04-13,6612.0
2012-04-14,6715.0
2012-04-15,6550.0
2012-04-16,6517.0
2012-04-17,7116.0
2012-04-18,7191.0
2012-04-19,6645.0
2012-04-20,6776.0
2012-04-21,6890.0
2012-04-22,5851.0
2012-04-23,5824.0
2012-04-24,6474.0
2012-04-25,6394.0
2012-04-26,6457.0
2012-04-27,6256.0
2012-04-28,6204.0
2012-04-29,6401.0
2012-04-30,6512.0
2012-05-01,7111.0
2012-05-02,7454.0
2012-05-03,8614.0
2012-05-04,7993.0
2012-05-05,7360.0
2012-05-06,7397.0
